row,brand,domain,category,url
2,A Diabetic Chef,adiabeticchef.com,Food & Beverages,https://adiabeticchef.com/
3,Aadar,aadar.co,Health & Wellness,https://www.aadar.co/
4,Aadvik,aadvikfoods.com,Food & Beverages,https://aadvikfoods.com/
6,ACWO,acwo.com,Electronics,https://acwo.com/
7,AIHIKI,aihiki.com.au,Food & Beverages,https://www.aihiki.com.au/
8,AILKIN,ailkinchargers.com,Electronics,https://ailkinchargers.com/
9,AirCase,aircase.in,Accessories,https://aircase.in/
11,AJMAL,ajmalperfume.com,Personal Care,https://www.ajmalperfume.com/
14,Alpino,alpino.store,Food & Nutrition,https://www.alpino.store/
15,Alt Co,alt.company,Food & Beverage,https://www.alt.company/
17,Ambriona Gourmet Food,ambriona.com,Food & Gourmet,https://www.ambriona.com/
18,AMKETTE,amkette.com,Electronics,https://www.amkette.com/
20,Anveshan,anveshan.farm,Food & Wellness,https://www.anveshan.farm/
22,ARAKU Coffee,arakucoffee.in,Food & Beverages,https://www.arakucoffee.in/
25,Arctic Fox,arcticfox.com,Fashion & Travel,https://www.arcticfox.com/
31,Atomberg,atomberg.com,Home Appliances,https://www.atomberg.com/
34,Auric,theauric.com,Ayurvedic Beverages,https://www.theauric.com/
37,Azafran,azafran.in,Organic Personal Care,https://www.azafran.in/
38,Bacca Bucci,baccabucci.com,Footwear,https://www.baccabucci.com/
39,BALENZIA,balenzia.com,Apparel,https://www.balenzia.com/
41,Bare Anatomy,bareanatomy.in,Personal Care,https://www.bareanatomy.in/
43,Bartisans,bartisans.in,Beverages,https://www.bartisans.in/
45,BBETTER,bbetter.in,Health & Wellness,https://bbetter.in/
46,Beanly,beanlycoffee.com,Beverages,https://beanlycoffee.com/
47,Beardhood,beardhood.in,Grooming,https://www.beardhood.in/
48,Beardo,beardo.in,Grooming,https://www.beardo.in/
49,beatXP,beatxp.com,Fitness & Wellness,https://www.beatxp.com/
50,Bechef,bechef.in,Food & Beverages,https://www.bechef.in/
53,BELLA VITA,bellavitaorganic.com,Personal Care,https://bellavitaorganic.com/
54,Bersache,bersache.com,Footwear,https://www.bersache.com/
55,beurer,beurerindia.com,Health Appliances,https://www.beurerindia.com/
56,BEVZILLA,bevzilla.co.in,Beverages,https://www.bevzilla.co.in/
57,Bewakoof,bewakoof.com,Fashion & Apparel,https://www.bewakoof.com/
58,Beyond Water,beyondwater.in,Beverages,https://beyondwater.in/
59,Big Muscles,bigmusclesnutrition.com,Fitness & Nutrition,https://www.bigmusclesnutrition.com/
60,Bigsmall,bigsmall.in,Gifting & Novelties,https://www.bigsmall.in/
62,Blue Tea,bluetea.co.in,Food & Beverage,https://www.bluetea.co.in/
63,boAt,boat-lifestyle.com,Electronics,https://www.boat-lifestyle.com/
64,Body Cupid,bodycupid.com,Personal Care,https://bodycupid.com/
66,Boho Botanist,bohobotanist.com,Personal Care,https://bohobotanist.com/
68,Bold Care,boldcare.in,Men's Health,https://www.boldcare.in/
